filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split
C:\Temp\deep\labeled_dataset\close-up_notext\0081_cut_003.jpg,0081_cut_003.jpg,0081,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0081_cut_004.jpg,0081_cut_004.jpg,0081,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0084_cut_004.jpg,0084_cut_004.jpg,0084,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0085_cut_003.jpg,0085_cut_003.jpg,0085,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0085_cut_007.jpg,0085_cut_007.jpg,0085,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0085_cut_008.jpg,0085_cut_008.jpg,0085,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0089_cut_001.jpg,0089_cut_001.jpg,0089,close-up_notext,close-up,0,close-up_notext,val
C:\Temp\deep\labeled_dataset\close-up_notext\0098_cut_003.jpg,0098_cut_003.jpg,0098,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0098_cut_004.jpg,0098_cut_004.jpg,0098,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0114_cut_001.jpg,0114_cut_001.jpg,0114,close-up_notext,close-up,0,close-up_notext,test
C:\Temp\deep\labeled_dataset\close-up_notext\0114_cut_015.jpg,0114_cut_015.jpg,0114,close-up_notext,close-up,0,close-up_notext,test
C:\Temp\deep\labeled_dataset\close-up_notext\0123_cut_001.jpg,0123_cut_001.jpg,0123,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_notext\0127_cut_001.jpg,0127_cut_001.jpg,0127,close-up_notext,close-up,0,close-up_notext,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_002.jpg,0002_cut_002.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_003.jpg,0002_cut_003.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_004.jpg,0002_cut_004.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_005.jpg,0002_cut_005.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_006.jpg,0002_cut_006.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_007.jpg,0002_cut_007.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_008.jpg,0002_cut_008.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_009.jpg,0002_cut_009.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_010.jpg,0002_cut_010.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_011.jpg,0002_cut_011.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_012.jpg,0002_cut_012.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_013.jpg,0002_cut_013.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0002_cut_014.jpg,0002_cut_014.jpg,0002,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0004_cut_006.jpg,0004_cut_006.jpg,0004,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0004_cut_009.jpg,0004_cut_009.jpg,0004,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0004_cut_010.jpg,0004_cut_010.jpg,0004,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0009_cut_006.jpg,0009_cut_006.jpg,0009,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0011_cut_002.jpg,0011_cut_002.jpg,0011,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0011_cut_015.jpg,0011_cut_015.jpg,0011,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0011_cut_016.jpg,0011_cut_016.jpg,0011,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0013_cut_002.jpg,0013_cut_002.jpg,0013,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_004.jpg,0015_cut_004.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_005.jpg,0015_cut_005.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_006.jpg,0015_cut_006.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_007.jpg,0015_cut_007.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_009.jpg,0015_cut_009.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_010.jpg,0015_cut_010.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_011.jpg,0015_cut_011.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_012.jpg,0015_cut_012.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_013.jpg,0015_cut_013.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_014.jpg,0015_cut_014.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0015_cut_015.jpg,0015_cut_015.jpg,0015,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0017_cut_005.jpg,0017_cut_005.jpg,0017,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0019_cut_002.jpg,0019_cut_002.jpg,0019,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0021_cut_001.jpg,0021_cut_001.jpg,0021,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_010.jpg,0024_cut_010.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_011.jpg,0024_cut_011.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_024.jpg,0024_cut_024.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_027.jpg,0024_cut_027.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_029.jpg,0024_cut_029.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_030.jpg,0024_cut_030.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_031.jpg,0024_cut_031.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0024_cut_033.jpg,0024_cut_033.jpg,0024,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0025_cut_011.jpg,0025_cut_011.jpg,0025,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0029_cut_009.jpg,0029_cut_009.jpg,0029,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0029_cut_010.jpg,0029_cut_010.jpg,0029,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0029_cut_022.jpg,0029_cut_022.jpg,0029,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0030_cut_003.jpg,0030_cut_003.jpg,0030,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0030_cut_013.jpg,0030_cut_013.jpg,0030,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0030_cut_015.jpg,0030_cut_015.jpg,0030,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0030_cut_025.jpg,0030_cut_025.jpg,0030,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0040_cut_005.jpg,0040_cut_005.jpg,0040,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0040_cut_018.jpg,0040_cut_018.jpg,0040,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0041_cut_002.jpg,0041_cut_002.jpg,0041,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0045_cut_004.jpg,0045_cut_004.jpg,0045,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0047_cut_004.jpg,0047_cut_004.jpg,0047,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_017.jpg,0048_cut_017.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_019.jpg,0048_cut_019.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_021.jpg,0048_cut_021.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_022.jpg,0048_cut_022.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_030.jpg,0048_cut_030.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_031.jpg,0048_cut_031.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_032.jpg,0048_cut_032.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_033.jpg,0048_cut_033.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_035.jpg,0048_cut_035.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_037.jpg,0048_cut_037.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0048_cut_039.jpg,0048_cut_039.jpg,0048,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0056_cut_001.jpg,0056_cut_001.jpg,0056,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0056_cut_018.jpg,0056_cut_018.jpg,0056,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0057_cut_002.jpg,0057_cut_002.jpg,0057,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0063_cut_002.jpg,0063_cut_002.jpg,0063,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0063_cut_003.jpg,0063_cut_003.jpg,0063,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0063_cut_004.jpg,0063_cut_004.jpg,0063,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0066_cut_003.jpg,0066_cut_003.jpg,0066,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0066_cut_004.jpg,0066_cut_004.jpg,0066,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0066_cut_005.jpg,0066_cut_005.jpg,0066,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0077_cut_008.jpg,0077_cut_008.jpg,0077,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0084_cut_001.jpg,0084_cut_001.jpg,0084,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_001.jpg,0085_cut_001.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_002.jpg,0085_cut_002.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_004.jpg,0085_cut_004.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_005.jpg,0085_cut_005.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_006.jpg,0085_cut_006.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_009.jpg,0085_cut_009.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0085_cut_010.jpg,0085_cut_010.jpg,0085,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0087_cut_012.jpg,0087_cut_012.jpg,0087,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0089_cut_003.jpg,0089_cut_003.jpg,0089,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0091_cut_004.jpg,0091_cut_004.jpg,0091,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0093_cut_002.jpg,0093_cut_002.jpg,0093,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0093_cut_012.jpg,0093_cut_012.jpg,0093,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0093_cut_018.jpg,0093_cut_018.jpg,0093,close-up_text,close-up,1,close-up_text,val
C:\Temp\deep\labeled_dataset\close-up_text\0096_cut_006.jpg,0096_cut_006.jpg,0096,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0097_cut_001.jpg,0097_cut_001.jpg,0097,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0097_cut_003.jpg,0097_cut_003.jpg,0097,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0097_cut_005.jpg,0097_cut_005.jpg,0097,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0097_cut_007.jpg,0097_cut_007.jpg,0097,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0102_cut_002.jpg,0102_cut_002.jpg,0102,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0102_cut_008.jpg,0102_cut_008.jpg,0102,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0102_cut_013.jpg,0102_cut_013.jpg,0102,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0102_cut_014.jpg,0102_cut_014.jpg,0102,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0105_cut_003.jpg,0105_cut_003.jpg,0105,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_004.jpg,0114_cut_004.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_005.jpg,0114_cut_005.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_006.jpg,0114_cut_006.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_010.jpg,0114_cut_010.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_011.jpg,0114_cut_011.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_013.jpg,0114_cut_013.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0114_cut_014.jpg,0114_cut_014.jpg,0114,close-up_text,close-up,1,close-up_text,test
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_001.jpg,0119_cut_001.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_002.jpg,0119_cut_002.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_003.jpg,0119_cut_003.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_004.jpg,0119_cut_004.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_005.jpg,0119_cut_005.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_011.jpg,0119_cut_011.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0119_cut_014.jpg,0119_cut_014.jpg,0119,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0120_cut_002.jpg,0120_cut_002.jpg,0120,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0122_cut_001.jpg,0122_cut_001.jpg,0122,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\close-up_text\0129_cut_007.jpg,0129_cut_007.jpg,0129,close-up_text,close-up,1,close-up_text,train
C:\Temp\deep\labeled_dataset\medium_notext\0010_cut_002.jpg,0010_cut_002.jpg,0010,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0013_cut_009.jpg,0013_cut_009.jpg,0013,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0013_cut_014.jpg,0013_cut_014.jpg,0013,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0013_cut_021.jpg,0013_cut_021.jpg,0013,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0024_cut_017.jpg,0024_cut_017.jpg,0024,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0024_cut_018.jpg,0024_cut_018.jpg,0024,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0024_cut_020.jpg,0024_cut_020.jpg,0024,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0024_cut_025.jpg,0024_cut_025.jpg,0024,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0025_cut_005.jpg,0025_cut_005.jpg,0025,medium_notext,medium,0,medium_notext,test
C:\Temp\deep\labeled_dataset\medium_notext\0025_cut_006.jpg,0025_cut_006.jpg,0025,medium_notext,medium,0,medium_notext,test
C:\Temp\deep\labeled_dataset\medium_notext\0025_cut_007.jpg,0025_cut_007.jpg,0025,medium_notext,medium,0,medium_notext,test
C:\Temp\deep\labeled_dataset\medium_notext\0028_cut_004.jpg,0028_cut_004.jpg,0028,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0028_cut_006.jpg,0028_cut_006.jpg,0028,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0028_cut_007.jpg,0028_cut_007.jpg,0028,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0028_cut_010.jpg,0028_cut_010.jpg,0028,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0029_cut_001.jpg,0029_cut_001.jpg,0029,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0030_cut_011.jpg,0030_cut_011.jpg,0030,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0030_cut_022.jpg,0030_cut_022.jpg,0030,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0032_cut_005.jpg,0032_cut_005.jpg,0032,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0034_cut_006.jpg,0034_cut_006.jpg,0034,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0034_cut_009.jpg,0034_cut_009.jpg,0034,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0036_cut_005.jpg,0036_cut_005.jpg,0036,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0036_cut_006.jpg,0036_cut_006.jpg,0036,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0038_cut_006.jpg,0038_cut_006.jpg,0038,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0043_cut_005.jpg,0043_cut_005.jpg,0043,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0043_cut_007.jpg,0043_cut_007.jpg,0043,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0044_cut_003.jpg,0044_cut_003.jpg,0044,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0044_cut_005.jpg,0044_cut_005.jpg,0044,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0044_cut_019.jpg,0044_cut_019.jpg,0044,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0047_cut_003.jpg,0047_cut_003.jpg,0047,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0048_cut_001.jpg,0048_cut_001.jpg,0048,medium_notext,medium,0,medium_notext,test
C:\Temp\deep\labeled_dataset\medium_notext\0050_cut_004.jpg,0050_cut_004.jpg,0050,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0050_cut_005.jpg,0050_cut_005.jpg,0050,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_001.jpg,0051_cut_001.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_002.jpg,0051_cut_002.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_003.jpg,0051_cut_003.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_004.jpg,0051_cut_004.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_005.jpg,0051_cut_005.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_006.jpg,0051_cut_006.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_007.jpg,0051_cut_007.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_008.jpg,0051_cut_008.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_009.jpg,0051_cut_009.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0051_cut_010.jpg,0051_cut_010.jpg,0051,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0052_cut_001.jpg,0052_cut_001.jpg,0052,medium_notext,medium,0,medium_notext,val
C:\Temp\deep\labeled_dataset\medium_notext\0054_cut_002.jpg,0054_cut_002.jpg,0054,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0054_cut_003.jpg,0054_cut_003.jpg,0054,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0054_cut_005.jpg,0054_cut_005.jpg,0054,medium_notext,medium,0,medium_notext,train
C:\Temp\deep\labeled_dataset\medium_notext\0054_cut_010.jpg,0054_cut_010.jpg,0054,medium_notext,medium,0,medium_notext,train
