filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_007.jpg,0004_cut_007.jpg,0004,object_text,object,1,object_text,train,41
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_008.jpg,0004_cut_008.jpg,0004,object_text,object,1,object_text,train,42
C:\Temp\shot-classification\labeled_dataset\object_text\0004_cut_011.jpg,0004_cut_011.jpg,0004,object_text,object,1,object_text,train,43
C:\Temp\shot-classification\labeled_dataset\wide_text\0004_cut_012.jpg,0004_cut_012.jpg,0004,wide_text,wide,1,wide_text,train,44
C:\Temp\shot-classification\labeled_dataset\medium_text\0005_cut_013.jpg,0005_cut_013.jpg,0005,medium_text,medium,1,medium_text,train,45
C:\Temp\shot-classification\labeled_dataset\object_notext\0005_cut_001.jpg,0005_cut_001.jpg,0005,object_notext,object,0,object_notext,train,46
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_003.jpg,0005_cut_003.jpg,0005,object_text,object,1,object_text,train,47
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_005.jpg,0005_cut_005.jpg,0005,object_text,object,1,object_text,train,48
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_007.jpg,0005_cut_007.jpg,0005,object_text,object,1,object_text,train,49
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_008.jpg,0005_cut_008.jpg,0005,object_text,object,1,object_text,train,50
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_010.jpg,0005_cut_010.jpg,0005,object_text,object,1,object_text,train,51
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_012.jpg,0005_cut_012.jpg,0005,object_text,object,1,object_text,train,52
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_014.jpg,0005_cut_014.jpg,0005,object_text,object,1,object_text,train,53
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_016.jpg,0005_cut_016.jpg,0005,object_text,object,1,object_text,train,54
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_017.jpg,0005_cut_017.jpg,0005,object_text,object,1,object_text,train,55
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_018.jpg,0005_cut_018.jpg,0005,object_text,object,1,object_text,train,56
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_019.jpg,0005_cut_019.jpg,0005,object_text,object,1,object_text,train,57
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_020.jpg,0005_cut_020.jpg,0005,object_text,object,1,object_text,train,58
C:\Temp\shot-classification\labeled_dataset\object_text\0005_cut_021.jpg,0005_cut_021.jpg,0005,object_text,object,1,object_text,train,59
C:\Temp\shot-classification\labeled_dataset\space_text\0005_cut_009.jpg,0005_cut_009.jpg,0005,space_text,space,1,space_text,train,60
C:\Temp\shot-classification\labeled_dataset\wide_text\0005_cut_002.jpg,0005_cut_002.jpg,0005,wide_text,wide,1,wide_text,train,61
C:\Temp\shot-classification\labeled_dataset\wide_text\0005_cut_004.jpg,0005_cut_004.jpg,0005,wide_text,wide,1,wide_text,train,62
C:\Temp\shot-classification\labeled_dataset\wide_text\0005_cut_011.jpg,0005_cut_011.jpg,0005,wide_text,wide,1,wide_text,train,63
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_001.jpg,0006_cut_001.jpg,0006,medium_text,medium,1,medium_text,test,64
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_002.jpg,0006_cut_002.jpg,0006,medium_text,medium,1,medium_text,test,65
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_003.jpg,0006_cut_003.jpg,0006,medium_text,medium,1,medium_text,test,66
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_004.jpg,0006_cut_004.jpg,0006,medium_text,medium,1,medium_text,test,67
C:\Temp\shot-classification\labeled_dataset\medium_text\0006_cut_005.jpg,0006_cut_005.jpg,0006,medium_text,medium,1,medium_text,test,68
C:\Temp\shot-classification\labeled_dataset\medium_text\0007_cut_001.jpg,0007_cut_001.jpg,0007,medium_text,medium,1,medium_text,train,69
C:\Temp\shot-classification\labeled_dataset\object_text\0007_cut_002.jpg,0007_cut_002.jpg,0007,object_text,object,1,object_text,train,70
C:\Temp\shot-classification\labeled_dataset\object_text\0007_cut_003.jpg,0007_cut_003.jpg,0007,object_text,object,1,object_text,train,71
C:\Temp\shot-classification\labeled_dataset\object_text\0007_cut_004.jpg,0007_cut_004.jpg,0007,object_text,object,1,object_text,train,72
C:\Temp\shot-classification\labeled_dataset\space_text\0007_cut_006.jpg,0007_cut_006.jpg,0007,space_text,space,1,space_text,train,73
C:\Temp\shot-classification\labeled_dataset\wide_text\0007_cut_005.jpg,0007_cut_005.jpg,0007,wide_text,wide,1,wide_text,train,74
C:\Temp\shot-classification\labeled_dataset\wide_text\0007_cut_007.jpg,0007_cut_007.jpg,0007,wide_text,wide,1,wide_text,train,75
C:\Temp\shot-classification\labeled_dataset\wide_text\0007_cut_008.jpg,0007_cut_008.jpg,0007,wide_text,wide,1,wide_text,train,76
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_003.jpg,0008_cut_003.jpg,0008,object_text,object,1,object_text,train,77
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_009.jpg,0008_cut_009.jpg,0008,object_text,object,1,object_text,train,78
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_011.jpg,0008_cut_011.jpg,0008,object_text,object,1,object_text,train,79
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_012.jpg,0008_cut_012.jpg,0008,object_text,object,1,object_text,train,80
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_013.jpg,0008_cut_013.jpg,0008,object_text,object,1,object_text,train,81
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_016.jpg,0008_cut_016.jpg,0008,object_text,object,1,object_text,train,82
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_017.jpg,0008_cut_017.jpg,0008,object_text,object,1,object_text,train,83
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_021.jpg,0008_cut_021.jpg,0008,object_text,object,1,object_text,train,84
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_022.jpg,0008_cut_022.jpg,0008,object_text,object,1,object_text,train,85
C:\Temp\shot-classification\labeled_dataset\object_text\0008_cut_023.jpg,0008_cut_023.jpg,0008,object_text,object,1,object_text,train,86
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_001.jpg,0008_cut_001.jpg,0008,space_text,space,1,space_text,train,87
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_002.jpg,0008_cut_002.jpg,0008,space_text,space,1,space_text,train,88
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_004.jpg,0008_cut_004.jpg,0008,space_text,space,1,space_text,train,89
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_005.jpg,0008_cut_005.jpg,0008,space_text,space,1,space_text,train,90
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_006.jpg,0008_cut_006.jpg,0008,space_text,space,1,space_text,train,91
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_007.jpg,0008_cut_007.jpg,0008,space_text,space,1,space_text,train,92
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_010.jpg,0008_cut_010.jpg,0008,space_text,space,1,space_text,train,93
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_014.jpg,0008_cut_014.jpg,0008,space_text,space,1,space_text,train,94
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_018.jpg,0008_cut_018.jpg,0008,space_text,space,1,space_text,train,95
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_019.jpg,0008_cut_019.jpg,0008,space_text,space,1,space_text,train,96
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_024.jpg,0008_cut_024.jpg,0008,space_text,space,1,space_text,train,97
C:\Temp\shot-classification\labeled_dataset\space_text\0008_cut_025.jpg,0008_cut_025.jpg,0008,space_text,space,1,space_text,train,98
C:\Temp\shot-classification\labeled_dataset\wide_text\0008_cut_015.jpg,0008_cut_015.jpg,0008,wide_text,wide,1,wide_text,train,99
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_001.jpg,0009_cut_001.jpg,0009,object_text,object,1,object_text,train,100
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_002.jpg,0009_cut_002.jpg,0009,object_text,object,1,object_text,train,101
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_003.jpg,0009_cut_003.jpg,0009,object_text,object,1,object_text,train,102
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_004.jpg,0009_cut_004.jpg,0009,object_text,object,1,object_text,train,103
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_005.jpg,0009_cut_005.jpg,0009,object_text,object,1,object_text,train,104
C:\Temp\shot-classification\labeled_dataset\object_text\0009_cut_006.jpg,0009_cut_006.jpg,0009,object_text,object,1,object_text,train,105
C:\Temp\shot-classification\labeled_dataset\medium_notext\0010_cut_002.jpg,0010_cut_002.jpg,0010,medium_notext,medium,0,medium_notext,val,106
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_001.jpg,0010_cut_001.jpg,0010,medium_text,medium,1,medium_text,val,107
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_003.jpg,0010_cut_003.jpg,0010,medium_text,medium,1,medium_text,val,108
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_008.jpg,0010_cut_008.jpg,0010,medium_text,medium,1,medium_text,val,109
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_011.jpg,0010_cut_011.jpg,0010,medium_text,medium,1,medium_text,val,110
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_012.jpg,0010_cut_012.jpg,0010,medium_text,medium,1,medium_text,val,111
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_013.jpg,0010_cut_013.jpg,0010,medium_text,medium,1,medium_text,val,112
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_016.jpg,0010_cut_016.jpg,0010,medium_text,medium,1,medium_text,val,113
C:\Temp\shot-classification\labeled_dataset\medium_text\0010_cut_021.jpg,0010_cut_021.jpg,0010,medium_text,medium,1,medium_text,val,114
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_004.jpg,0010_cut_004.jpg,0010,object_text,object,1,object_text,val,115
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_005.jpg,0010_cut_005.jpg,0010,object_text,object,1,object_text,val,116
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_006.jpg,0010_cut_006.jpg,0010,object_text,object,1,object_text,val,117
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_007.jpg,0010_cut_007.jpg,0010,object_text,object,1,object_text,val,118
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_009.jpg,0010_cut_009.jpg,0010,object_text,object,1,object_text,val,119
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_010.jpg,0010_cut_010.jpg,0010,object_text,object,1,object_text,val,120
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_014.jpg,0010_cut_014.jpg,0010,object_text,object,1,object_text,val,121
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_017.jpg,0010_cut_017.jpg,0010,object_text,object,1,object_text,val,122
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_018.jpg,0010_cut_018.jpg,0010,object_text,object,1,object_text,val,123
C:\Temp\shot-classification\labeled_dataset\object_text\0010_cut_020.jpg,0010_cut_020.jpg,0010,object_text,object,1,object_text,val,124
C:\Temp\shot-classification\labeled_dataset\space_text\0010_cut_019.jpg,0010_cut_019.jpg,0010,space_text,space,1,space_text,val,125
C:\Temp\shot-classification\labeled_dataset\close-up_text\0011_cut_002.jpg,0011_cut_002.jpg,0011,close-up_text,close-up,1,close-up_text,train,126
C:\Temp\shot-classification\labeled_dataset\close-up_text\0011_cut_015.jpg,0011_cut_015.jpg,0011,close-up_text,close-up,1,close-up_text,train,127
C:\Temp\shot-classification\labeled_dataset\close-up_text\0011_cut_016.jpg,0011_cut_016.jpg,0011,close-up_text,close-up,1,close-up_text,train,128
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_001.jpg,0011_cut_001.jpg,0011,medium_text,medium,1,medium_text,train,129
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_003.jpg,0011_cut_003.jpg,0011,medium_text,medium,1,medium_text,train,130
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_005.jpg,0011_cut_005.jpg,0011,medium_text,medium,1,medium_text,train,131
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_009.jpg,0011_cut_009.jpg,0011,medium_text,medium,1,medium_text,train,132
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_010.jpg,0011_cut_010.jpg,0011,medium_text,medium,1,medium_text,train,133
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_012.jpg,0011_cut_012.jpg,0011,medium_text,medium,1,medium_text,train,134
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_013.jpg,0011_cut_013.jpg,0011,medium_text,medium,1,medium_text,train,135
C:\Temp\shot-classification\labeled_dataset\medium_text\0011_cut_014.jpg,0011_cut_014.jpg,0011,medium_text,medium,1,medium_text,train,136
C:\Temp\shot-classification\labeled_dataset\object_text\0011_cut_008.jpg,0011_cut_008.jpg,0011,object_text,object,1,object_text,train,137
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_004.jpg,0011_cut_004.jpg,0011,wide_text,wide,1,wide_text,train,138
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_006.jpg,0011_cut_006.jpg,0011,wide_text,wide,1,wide_text,train,139
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_007.jpg,0011_cut_007.jpg,0011,wide_text,wide,1,wide_text,train,140
C:\Temp\shot-classification\labeled_dataset\wide_text\0011_cut_011.jpg,0011_cut_011.jpg,0011,wide_text,wide,1,wide_text,train,141
C:\Temp\shot-classification\labeled_dataset\object_text\0012_cut_002.jpg,0012_cut_002.jpg,0012,object_text,object,1,object_text,train,142
C:\Temp\shot-classification\labeled_dataset\object_text\0012_cut_005.jpg,0012_cut_005.jpg,0012,object_text,object,1,object_text,train,143
C:\Temp\shot-classification\labeled_dataset\object_text\0012_cut_006.jpg,0012_cut_006.jpg,0012,object_text,object,1,object_text,train,144
C:\Temp\shot-classification\labeled_dataset\space_text\0012_cut_001.jpg,0012_cut_001.jpg,0012,space_text,space,1,space_text,train,145
C:\Temp\shot-classification\labeled_dataset\space_text\0012_cut_003.jpg,0012_cut_003.jpg,0012,space_text,space,1,space_text,train,146
C:\Temp\shot-classification\labeled_dataset\wide_text\0012_cut_004.jpg,0012_cut_004.jpg,0012,wide_text,wide,1,wide_text,train,147
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0013_cut_006.jpg,0013_cut_006.jpg,0013,close-up_notext,close-up,0,close-up_notext,train,148
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0013_cut_012.jpg,0013_cut_012.jpg,0013,close-up_notext,close-up,0,close-up_notext,train,149
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0013_cut_017.jpg,0013_cut_017.jpg,0013,close-up_notext,close-up,0,close-up_notext,train,150
C:\Temp\shot-classification\labeled_dataset\close-up_text\0013_cut_002.jpg,0013_cut_002.jpg,0013,close-up_text,close-up,1,close-up_text,train,151
C:\Temp\shot-classification\labeled_dataset\medium_notext\0013_cut_009.jpg,0013_cut_009.jpg,0013,medium_notext,medium,0,medium_notext,train,152
C:\Temp\shot-classification\labeled_dataset\medium_notext\0013_cut_014.jpg,0013_cut_014.jpg,0013,medium_notext,medium,0,medium_notext,train,153
C:\Temp\shot-classification\labeled_dataset\medium_notext\0013_cut_021.jpg,0013_cut_021.jpg,0013,medium_notext,medium,0,medium_notext,train,154
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_003.jpg,0013_cut_003.jpg,0013,object_notext,object,0,object_notext,train,155
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_004.jpg,0013_cut_004.jpg,0013,object_notext,object,0,object_notext,train,156
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_005.jpg,0013_cut_005.jpg,0013,object_notext,object,0,object_notext,train,157
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_007.jpg,0013_cut_007.jpg,0013,object_notext,object,0,object_notext,train,158
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_008.jpg,0013_cut_008.jpg,0013,object_notext,object,0,object_notext,train,159
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_010.jpg,0013_cut_010.jpg,0013,object_notext,object,0,object_notext,train,160
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_011.jpg,0013_cut_011.jpg,0013,object_notext,object,0,object_notext,train,161
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_013.jpg,0013_cut_013.jpg,0013,object_notext,object,0,object_notext,train,162
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_015.jpg,0013_cut_015.jpg,0013,object_notext,object,0,object_notext,train,163
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_016.jpg,0013_cut_016.jpg,0013,object_notext,object,0,object_notext,train,164
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_018.jpg,0013_cut_018.jpg,0013,object_notext,object,0,object_notext,train,165
C:\Temp\shot-classification\labeled_dataset\object_notext\0013_cut_019.jpg,0013_cut_019.jpg,0013,object_notext,object,0,object_notext,train,166
C:\Temp\shot-classification\labeled_dataset\object_text\0013_cut_001.jpg,0013_cut_001.jpg,0013,object_text,object,1,object_text,train,167
C:\Temp\shot-classification\labeled_dataset\wide_notext\0013_cut_022.jpg,0013_cut_022.jpg,0013,wide_notext,wide,0,wide_notext,train,168
C:\Temp\shot-classification\labeled_dataset\medium_text\0014_cut_006.jpg,0014_cut_006.jpg,0014,medium_text,medium,1,medium_text,train,169
C:\Temp\shot-classification\labeled_dataset\medium_text\0014_cut_007.jpg,0014_cut_007.jpg,0014,medium_text,medium,1,medium_text,train,170
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_001.jpg,0014_cut_001.jpg,0014,wide_text,wide,1,wide_text,train,171
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_002.jpg,0014_cut_002.jpg,0014,wide_text,wide,1,wide_text,train,172
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_003.jpg,0014_cut_003.jpg,0014,wide_text,wide,1,wide_text,train,173
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_004.jpg,0014_cut_004.jpg,0014,wide_text,wide,1,wide_text,train,174
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_005.jpg,0014_cut_005.jpg,0014,wide_text,wide,1,wide_text,train,175
C:\Temp\shot-classification\labeled_dataset\wide_text\0014_cut_008.jpg,0014_cut_008.jpg,0014,wide_text,wide,1,wide_text,train,176
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0015_cut_001.jpg,0015_cut_001.jpg,0015,close-up_notext,close-up,0,close-up_notext,train,177
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_004.jpg,0015_cut_004.jpg,0015,close-up_text,close-up,1,close-up_text,train,178
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_007.jpg,0015_cut_007.jpg,0015,close-up_text,close-up,1,close-up_text,train,179
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_009.jpg,0015_cut_009.jpg,0015,close-up_text,close-up,1,close-up_text,train,180
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_010.jpg,0015_cut_010.jpg,0015,close-up_text,close-up,1,close-up_text,train,181
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_011.jpg,0015_cut_011.jpg,0015,close-up_text,close-up,1,close-up_text,train,182
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_012.jpg,0015_cut_012.jpg,0015,close-up_text,close-up,1,close-up_text,train,183
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_013.jpg,0015_cut_013.jpg,0015,close-up_text,close-up,1,close-up_text,train,184
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_014.jpg,0015_cut_014.jpg,0015,close-up_text,close-up,1,close-up_text,train,185
C:\Temp\shot-classification\labeled_dataset\close-up_text\0015_cut_015.jpg,0015_cut_015.jpg,0015,close-up_text,close-up,1,close-up_text,train,186
C:\Temp\shot-classification\labeled_dataset\object_text\0015_cut_005.jpg,0015_cut_005.jpg,0015,object_text,object,1,object_text,train,187
C:\Temp\shot-classification\labeled_dataset\object_text\0015_cut_006.jpg,0015_cut_006.jpg,0015,object_text,object,1,object_text,train,188
C:\Temp\shot-classification\labeled_dataset\object_text\0015_cut_008.jpg,0015_cut_008.jpg,0015,object_text,object,1,object_text,train,189
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_001.jpg,0016_cut_001.jpg,0016,medium_text,medium,1,medium_text,val,190
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_003.jpg,0016_cut_003.jpg,0016,medium_text,medium,1,medium_text,val,191
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_009.jpg,0016_cut_009.jpg,0016,medium_text,medium,1,medium_text,val,192
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_010.jpg,0016_cut_010.jpg,0016,medium_text,medium,1,medium_text,val,193
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_011.jpg,0016_cut_011.jpg,0016,medium_text,medium,1,medium_text,val,194
C:\Temp\shot-classification\labeled_dataset\medium_text\0016_cut_013.jpg,0016_cut_013.jpg,0016,medium_text,medium,1,medium_text,val,195
