filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true_idx,shot_pred_idx,shot_pred,text_true,text_pred,text_probability,shot_confidence,text_confidence,joint_confidence,shot_correct,text_correct,joint_correct,prob_shot_close-up,prob_shot_medium,prob_shot_object,prob_shot_space,prob_shot_wide,joint_pred_label,text_threshold
C:\Temp\shot-classification\labeled_dataset\medium_text\0017_cut_003.jpg,0017_cut_003.jpg,17,medium_text,medium,1,medium_text,test,204,1,4,wide,1,1,0.9827946,0.74362653,0.9827946,0.73083216,False,True,False,0.0005654147,0.25507164,0.00021537361,0.00052100164,0.74362653,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_010.jpg,0030_cut_010.jpg,30,wide_text,wide,1,wide_text,test,369,4,4,wide,1,0,0.21912839,0.9230548,0.7808716,0.72078735,True,False,False,8.647324e-05,0.020035755,0.0016963466,0.05512661,0.9230548,wide_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_003.jpg,0185_cut_003.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1596,0,0,close-up,0,1,0.730061,0.98560035,0.730061,0.71954834,True,False,False,0.98560035,0.014332136,6.746833e-05,6.264644e-09,2.7176723e-08,close-up_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0030_cut_015.jpg,0030_cut_015.jpg,30,close-up_text,close-up,1,close-up_text,test,353,0,0,close-up,1,0,0.100281335,0.7954275,0.89971864,0.7156609,True,False,False,0.7954275,0.20341578,0.0011116437,1.0375514e-05,3.4701043e-05,close-up_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0114_cut_009.jpg,0114_cut_009.jpg,114,medium_text,medium,1,medium_text,test,1084,1,1,medium,1,0,0.03877626,0.7393547,0.9612237,0.7106853,True,False,False,0.2577324,0.7393547,0.0019493448,2.2520659e-05,0.0009409898,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_005.jpg,0075_cut_005.jpg,75,medium_text,medium,1,medium_text,test,747,1,1,medium,1,0,0.13051169,0.8139727,0.8694883,0.7077398,True,False,False,0.08222907,0.8139727,0.005928159,0.00058726355,0.097282685,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\object_text\0100_cut_006.jpg,0100_cut_006.jpg,100,object_text,object,1,object_text,test,955,2,2,object,1,0,0.17509107,0.84406626,0.8249089,0.6962778,True,False,False,0.048411723,0.04660273,0.84406626,0.038592078,0.022327159,object_notext,0.5
C:\Temp\shot-classification\labeled_dataset\space_notext\0106_cut_004.jpg,0106_cut_004.jpg,106,space_notext,space,0,space_notext,test,995,3,3,space,0,1,0.7389659,0.92802596,0.7389659,0.6857796,True,False,False,0.0007081101,0.0014036952,0.06387559,0.92802596,0.0059866216,space_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0189_cut_004.jpg,0189_cut_004.jpg,189,close-up_text,close-up,1,close-up_text,test,1618,0,1,medium,1,1,0.99982494,0.6847207,0.99982494,0.68460083,False,True,False,0.30451393,0.6847207,0.010410202,7.836621e-05,0.00027673092,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0031_cut_002.jpg,0031_cut_002.jpg,31,wide_text,wide,1,wide_text,test,378,4,4,wide,1,0,0.25220928,0.9016628,0.7477907,0.6742551,True,False,False,0.0006232739,0.070518285,0.0013840623,0.025811538,0.9016628,wide_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_001.jpg,0119_cut_001.jpg,119,close-up_text,close-up,1,close-up_text,test,1102,0,1,medium,1,1,0.93366206,0.7150416,0.93366206,0.6676072,False,True,False,0.26120228,0.7150416,0.022132466,9.8151235e-05,0.00152555,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_004.jpg,0139_cut_004.jpg,139,medium_notext,medium,0,medium_notext,test,1255,1,3,space,0,0,0.18859325,0.81710553,0.81140673,0.66300493,False,True,False,0.002529489,0.0039605,0.16283132,0.81710553,0.013573144,space_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0025_cut_006.jpg,0025_cut_006.jpg,25,medium_notext,medium,0,medium_notext,test,295,1,1,medium,0,1,0.6683295,0.98669267,0.6683295,0.6594358,True,False,False,0.008015353,0.98669267,1.1288225e-05,3.6998998e-07,0.0052803913,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_002.jpg,0119_cut_002.jpg,119,close-up_text,close-up,1,close-up_text,test,1103,0,1,medium,1,1,0.99156076,0.6642226,0.99156076,0.6586171,False,True,False,0.3145736,0.6642226,0.020522658,4.186903e-05,0.00063932687,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_004.jpg,0030_cut_004.jpg,30,medium_text,medium,1,medium_text,test,359,1,4,wide,1,1,0.97737575,0.6667986,0.97737575,0.6517128,False,True,False,0.0060241967,0.17127156,0.038172882,0.11773284,0.6667986,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0148_cut_001.jpg,0148_cut_001.jpg,148,close-up_text,close-up,1,close-up_text,test,1338,0,1,medium,1,1,0.99918,0.64320666,0.99918,0.6426792,False,True,False,0.35618162,0.64320666,0.00027631322,1.1052521e-07,0.00033535392,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_002.jpg,0139_cut_002.jpg,139,medium_notext,medium,0,medium_notext,test,1253,1,1,medium,0,1,0.98551965,0.65070426,0.98551965,0.64128184,True,False,False,0.34675118,0.65070426,0.0021063015,7.5054195e-06,0.00043071157,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0194_cut_001.jpg,0194_cut_001.jpg,194,medium_text,medium,1,medium_text,test,1652,1,1,medium,1,0,0.2225254,0.81619614,0.7774746,0.63457173,True,False,False,0.18349744,0.81619614,0.00013682581,1.9277606e-07,0.00016945177,medium_notext,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0119_cut_005.jpg,0119_cut_005.jpg,119,close-up_text,close-up,1,close-up_text,test,1106,0,1,medium,1,1,0.98418045,0.64231014,0.98418045,0.6321491,False,True,False,0.34822327,0.64231014,0.009201521,1.6348764e-05,0.0002487467,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0189_cut_002.jpg,0189_cut_002.jpg,189,close-up_text,close-up,1,close-up_text,test,1616,0,1,medium,1,1,0.9996563,0.6303873,0.9996563,0.63017064,False,True,False,0.35788667,0.6303873,0.011183366,0.00013124745,0.00041142336,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0019_cut_004.jpg,0019_cut_004.jpg,19,wide_text,wide,1,wide_text,test,223,4,4,wide,1,0,0.33482283,0.9446274,0.66517717,0.6283446,True,False,False,0.00017644619,0.05007137,0.00027109537,0.0048536565,0.9446274,wide_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0030_cut_005.jpg,0030_cut_005.jpg,30,medium_text,medium,1,medium_text,test,360,1,4,wide,1,1,0.99410546,0.6199133,0.99410546,0.61625916,False,True,False,0.002868604,0.27871117,0.01533103,0.08317591,0.6199133,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0210_cut_022.jpg,0210_cut_022.jpg,210,close-up_text,close-up,1,close-up_text,test,1879,0,1,medium,1,1,0.9990036,0.61456656,0.9990036,0.6139542,False,True,False,0.38265908,0.61456656,0.0025874348,1.4589026e-06,0.00018544283,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\space_text\0114_cut_007.jpg,0114_cut_007.jpg,114,space_text,space,1,space_text,test,1088,3,4,wide,1,1,0.97367847,0.60924137,0.97367847,0.5932052,False,True,False,0.00047535152,0.01456247,0.0107497,0.36497113,0.60924137,wide_text,0.5
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_018.jpg,0030_cut_018.jpg,30,wide_text,wide,1,wide_text,test,373,4,1,medium,1,1,0.99779284,0.58013725,0.99779284,0.5788568,False,True,False,0.01731193,0.58013725,0.14178732,0.07569675,0.18506671,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0019_cut_002.jpg,0019_cut_002.jpg,19,close-up_text,close-up,1,close-up_text,test,220,0,1,medium,1,1,0.5842487,0.9778291,0.5842487,0.5712954,False,True,False,0.019008152,0.9778291,4.5737754e-05,7.866528e-06,0.003109164,medium_text,0.5
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_006.jpg,0056_cut_006.jpg,56,object_text,object,1,object_text,test,621,2,3,space,1,1,0.9983187,0.5718786,0.9983187,0.57091707,False,True,False,0.0013779392,0.008593741,0.34076512,0.5718786,0.07738463,space_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_text\0122_cut_001.jpg,0122_cut_001.jpg,122,close-up_text,close-up,1,close-up_text,test,1125,0,2,object,1,1,0.98526484,0.5739498,0.98526484,0.5654926,False,True,False,0.22250062,0.033329267,0.5739498,0.14090249,0.029317845,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\close-up_notext\0185_cut_002.jpg,0185_cut_002.jpg,185,close-up_notext,close-up,0,close-up_notext,test,1595,0,0,close-up,0,1,0.5584506,0.99244094,0.5584506,0.5542292,True,False,False,0.99244094,0.007442369,0.000116658935,5.1142917e-09,1.18681305e-08,close-up_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0030_cut_022.jpg,0030_cut_022.jpg,30,medium_notext,medium,0,medium_notext,test,356,1,4,wide,0,0,0.33944324,0.8216033,0.6605568,0.54271567,False,True,False,0.0008620513,0.17516358,0.0002653796,0.0021057162,0.8216033,wide_notext,0.5
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_003.jpg,0139_cut_003.jpg,139,medium_notext,medium,0,medium_notext,test,1254,1,3,space,0,0,0.25399113,0.7223238,0.7460089,0.53885996,False,True,False,0.0069670505,0.025289353,0.20334403,0.7223238,0.042075794,space_notext,0.5
C:\Temp\shot-classification\labeled_dataset\object_notext\0122_cut_002.jpg,0122_cut_002.jpg,122,object_notext,object,0,object_notext,test,1127,2,2,object,0,1,0.7107761,0.7577769,0.7107761,0.53860974,True,False,False,0.032883197,0.026011217,0.7577769,0.17704268,0.0062860018,object_text,0.5
C:\Temp\shot-classification\labeled_dataset\medium_text\0157_cut_005.jpg,0157_cut_005.jpg,157,medium_text,medium,1,medium_text,test,1373,1,0,close-up,1,1,0.97514874,0.54287493,0.97514874,0.5293838,False,True,False,0.54287493,0.39680576,0.05904289,0.00024887206,0.0010276827,close-up_text,0.5
