filepath,filename,video_id,original_class,shot_type,has_text,joint_label,split,embedding_index,shot_true,shot_pred,text_true,text_pred,shot_confidence,text_confidence,text_probability,joint_true,joint_pred,joint_confidence,shot_correct,text_correct,joint_correct
C:\Temp\shot-classification\labeled_dataset\medium_notext\0138_cut_003.jpg,0138_cut_003.jpg,138,medium_notext,medium,0,medium_notext,test,1245,medium,medium,0,0,0.6932212,0.6398711,0.3601289,medium_notext,medium_notext,0.44357222,True,True,True
C:\Temp\shot-classification\labeled_dataset\object_text\0056_cut_006.jpg,0056_cut_006.jpg,56,object_text,object,1,object_text,test,621,object,object,1,1,0.4557634,0.99833614,0.99833614,object_text,object_text,0.45500508,True,True,True
C:\Temp\shot-classification\labeled_dataset\wide_text\0030_cut_020.jpg,0030_cut_020.jpg,30,wide_text,wide,1,wide_text,test,375,wide,medium,1,1,0.7544544,0.603195,0.603195,wide_text,medium_text,0.4550831,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_001.jpg,0139_cut_001.jpg,139,medium_notext,medium,0,medium_notext,test,1252,medium,close-up,0,1,0.72383475,0.6376131,0.6376131,medium_notext,close-up_text,0.46152654,False,False,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_009.jpg,0075_cut_009.jpg,75,medium_text,medium,1,medium_text,test,749,medium,medium,1,1,0.77593017,0.6092508,0.6092508,medium_text,medium_text,0.47273606,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_004.jpg,0075_cut_004.jpg,75,medium_text,medium,1,medium_text,test,746,medium,medium,1,1,0.5260826,0.91513723,0.91513723,medium_text,medium_text,0.48143774,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_text\0219_cut_001.jpg,0219_cut_001.jpg,219,medium_text,medium,1,medium_text,test,1990,medium,medium,1,1,0.792458,0.61572313,0.61572313,medium_text,medium_text,0.4879347,True,True,True
C:\Temp\shot-classification\labeled_dataset\close-up_text\0211_cut_008.jpg,0211_cut_008.jpg,211,close-up_text,close-up,1,close-up_text,test,1886,close-up,object,1,1,0.49140358,0.9992617,0.9992617,close-up_text,object_text,0.49104077,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0075_cut_010.jpg,0075_cut_010.jpg,75,medium_text,medium,1,medium_text,test,750,medium,close-up,1,0,0.5880422,0.83679074,0.16320929,medium_text,close-up_notext,0.49206826,False,False,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0097_cut_007.jpg,0097_cut_007.jpg,97,close-up_text,close-up,1,close-up_text,test,941,close-up,close-up,1,1,0.4997994,0.99616855,0.99616855,close-up_text,close-up_text,0.49788445,True,True,True
C:\Temp\shot-classification\labeled_dataset\wide_text\0025_cut_002.jpg,0025_cut_002.jpg,25,wide_text,wide,1,wide_text,test,304,wide,medium,1,0,0.522494,0.9535774,0.046422575,wide_text,medium_notext,0.49823847,False,False,False
C:\Temp\shot-classification\labeled_dataset\medium_text\0025_cut_010.jpg,0025_cut_010.jpg,25,medium_text,medium,1,medium_text,test,302,medium,medium,1,1,0.97682744,0.5162097,0.5162097,medium_text,medium_text,0.50424784,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_text\0157_cut_003.jpg,0157_cut_003.jpg,157,medium_text,medium,1,medium_text,test,1371,medium,medium,1,1,0.96543694,0.5254591,0.5254591,medium_text,medium_text,0.50729764,True,True,True
C:\Temp\shot-classification\labeled_dataset\medium_notext\0025_cut_007.jpg,0025_cut_007.jpg,25,medium_notext,medium,0,medium_notext,test,296,medium,medium,0,0,0.9363279,0.54525447,0.45474553,medium_notext,medium_notext,0.51053697,True,True,True
C:\Temp\shot-classification\labeled_dataset\space_text\0056_cut_026.jpg,0056_cut_026.jpg,56,space_text,space,1,space_text,test,647,space,wide,1,1,0.5196215,0.99989593,0.99989593,space_text,wide_text,0.51956743,False,True,False
C:\Temp\shot-classification\labeled_dataset\medium_notext\0139_cut_002.jpg,0139_cut_002.jpg,139,medium_notext,medium,0,medium_notext,test,1253,medium,close-up,0,1,0.52804774,0.98461884,0.98461884,medium_notext,close-up_text,0.5199258,False,False,False
C:\Temp\shot-classification\labeled_dataset\close-up_text\0030_cut_025.jpg,0030_cut_025.jpg,30,close-up_text,close-up,1,close-up_text,test,354,close-up,close-up,1,1,0.53053194,0.9916271,0.9916271,close-up_text,close-up_text,0.52608985,True,True,True
C:\Temp\shot-classification\labeled_dataset\wide_text\0031_cut_003.jpg,0031_cut_003.jpg,31,wide_text,wide,1,wide_text,test,379,wide,wide,1,1,0.71611154,0.7371578,0.7371578,wide_text,wide_text,0.5278872,True,True,True
C:\Temp\shot-classification\labeled_dataset\close-up_text\0144_cut_007.jpg,0144_cut_007.jpg,144,close-up_text,close-up,1,close-up_text,test,1299,close-up,close-up,1,1,0.5293322,0.99948406,0.99948406,close-up_text,close-up_text,0.5290591,True,True,True
C:\Temp\shot-classification\labeled_dataset\close-up_text\0217_cut_002.jpg,0217_cut_002.jpg,217,close-up_text,close-up,1,close-up_text,test,1981,close-up,close-up,1,1,0.533473,0.9997887,0.9997887,close-up_text,close-up_text,0.5333603,True,True,True
